            Date,NO,NO2,SO2,CO
01-02-2018 00:00,47.3525,139.385,10.16,5.405
02-02-2018 00:00,37.6,100.6,5.9325,5.3475
03-02-2018 00:00,36.215,82.5875,7.2525,5.4925
04-02-2018 00:00,35.2075,91.5975,7.1875,4.7925
05-02-2018 00:00,46.405,114.05,7.395,4.8625
06-02-2018 00:00,34.46,73.3375,6.0525,5.6225
07-02-2018 00:00,38.005,86.16,6.26,4.625
08-02-2018 00:00,57.3225,109.1575,6.4375,6.0975
09-02-2018 00:00,52.75,114.9375,6.3925,4.78
10-02-2018 00:00,57.1275,138.4375,5.535,8.175
11-02-2018 00:00,40.805,69.3225,6.975,5.43
12-02-2018 00:00,21.8225,47.515,5.5275,2.75
13-02-2018 00:00,39.9175,81.12,5.4375,6.035
14-02-2018 00:00,33.4525,76.55,4.55,5.8875
15-02-2018 00:00,33.75,69.7475,5.89,5.6975
16-02-2018 00:00,41.9825,88.1475,7.8625,4.445
17-02-2018 00:00,38.3925,85.4475,8.0175,5.36
18-02-2018 00:00,44.1875,89.67,7.8775,5.5675
19-02-2018 00:00,59.5325,102.48,8.5225,6.855
20-02-2018 00:00,56.6575,105.8075,8.17,6.4075
21-02-2018 00:00,59.275,135.175,8.81,7.455
22-02-2018 00:00,47.7275,97.7675,8.4275,5.83
23-02-2018 00:00,42.5975,104.9075,7.5875,6.305
24-02-2018 00:00,34.33,68.8075,9.29,5.18
25-02-2018 00:00,25.1175,52.9725,8.31,6.7475
26-02-2018 00:00,28.425,53.7525,4.3575,4.47
27-02-2018 00:00,44.8675,92.01,5.1275,4.775
28-02-2018 00:00,44.555,83.5175,4.9425,5.55
01-03-2018 00:00,40.7225,63.8075,6.9675,5.465
02-03-2018 00:00,37.4175,66.7225,4.94,5.5125
03-03-2018 00:00,31.1475,60.9075,6.0825,5.9075
04-03-2018 00:00,25.4,53.18,6.2525,4.865
05-03-2018 00:00,33.5175,61.9275,6.9775,4.7475
06-03-2018 00:00,29.5325,59.55,7.59,4.2675
07-03-2018 00:00,40.0425,67.9625,8.7425,4.8925
08-03-2018 00:00,59.07,109.08,8.52,9.71
09-03-2018 00:00,43.0175,84.29,10.205,9.625
10-03-2018 00:00,25.1525,50.435,8.7175,4.7125
11-03-2018 00:00,27.67,59.5475,7.8375,5.5025
12-03-2018 00:00,19.16333333,47.53333333,13.06333333,1.213333333
13-03-2018 00:00,28.72333333,71.27333333,13.81,1.586666667
14-03-2018 00:00,48.6825,96.18,7.9475,6.3325
15-03-2018 00:00,39.9375,67.8025,8.9075,5.52
16-03-2018 00:00,35.9875,68.18,8.245,5.5175
17-03-2018 00:00,33.765,66.4725,11.525,4.3725
18-03-2018 00:00,15.59333333,65.06,8.453333333,1.236666667
19-03-2018 00:00,24.74,71.66,12.95333333,1.323333333
20-03-2018 00:00,50.745,92.69,11.335,10.42
21-03-2018 00:00,25.8275,50.3825,10.7475,8.3875
22-03-2018 00:00,25.2225,42.6525,8.4925,5.69
23-03-2018 00:00,26.2575,50.665,8.44,4.16
24-03-2018 00:00,21.8725,48.335,9.1575,4.2675
25-03-2018 00:00,20.47,42.4275,10.465,5.0675
